"UserID","CampaignID","CampaignType","CampaignSentMorningAfternoon","UserAge","UserDepartment","UserIsManager","UserGender","UserTenure","UserOpenedEmail","UserFail","UserReportedSpam"
1001516,100001,"Open_Attachment","Morning",31.8425735797399,"Marketing",0,"female",9.5756286074991,"Yes","No","Yes"
1001524,100001,"Data_Entry","Morning",18.7515400410678,"Finance",0,"female",4.50376454483231,"Yes","No","Yes"
1001784,100001,"Open_Attachment","Morning",27.4455852156057,"Marketing",0,"male",2.58068645731406,"Yes","No","No"
1001992,100001,"Open_Attachment","Morning",64.2203969883641,"Operations",0,"male",8.16829056033263,"Yes","No","No"
1001256,100001,"Data_Entry","Morning",36.7392197125257,"Marketing",0,"male",18.6765283860966,"Yes","No","No"
1000851,100001,"Click_Link","Morning",20.1505817932923,"Finance",0,"male",5.90280629705681,"Yes","No","No"
1001657,100001,"Click_Link","Morning",51.3292265571526,"Finance",0,"female",1.85062859417224,"Yes","No","No"
1000329,100001,"Data_Entry","Morning",29.4442162902122,"Finance",0,"female",15.1964407939767,"Yes","No","Yes"
1000985,100001,"Open_Attachment","Morning",42.135523613963,"Operations",0,"male",0.878772084722426,"Yes","No","Yes"
1000190,100001,"Click_Link","Morning",34.4407939767283,"Marketing",0,"female",7.19315980308023,"Yes","No","No"
1001530,100001,"Open_Attachment","Morning",52.8281998631075,"Operations",0,"female",4.31620083554529,"Yes","No","No"
1001786,100001,"Click_Link","Morning",26.6461327857632,"Finance",0,"female",2.37660229564731,"Yes","No","Yes"
1001701,100001,"Open_Attachment","Morning",23.3483915126626,"Operations",0,"male",3.2510033278327,"Yes","Yes",
1000055,100001,"Open_Attachment","Morning",25.9466119096509,"Finance",0,"female",11.6988364134155,"Yes","No","No"
1001024,100001,"Open_Attachment","Morning",21.3497604380561,"Marketing",1,"female",3.60968083276459,"Yes","No","No"
1000531,100001,"Click_Link","Morning",35.4401095140315,"Operations",0,"female",13.6130934560804,"Yes","Yes",
1000858,100001,"Click_Link","Morning",25.2470910335387,"Marketing",0,"male",10.9993155373032,"Yes","No","No"
1000810,100001,"Data_Entry","Morning",45.0335386721424,"Marketing",0,"female",10.462996158581,"Yes","No","No"
1001172,100001,"Click_Link","Morning",26.1464750171116,"Operations",0,"male",1.46353675468879,"Yes","No","Yes"
1001033,100001,"Data_Entry","Morning",38.9377138945927,"Finance",0,"male",9.07823976917452,"Yes","No","No"
1001234,100001,"Click_Link","Morning",18.8514715947981,"Operations",0,"female",4.60369609856263,"Yes","No","No"
1000710,100001,"Open_Attachment","Morning",37.9383983572895,"Operations",0,"male",3.06495913898898,"Yes","No","No"
1000986,100001,"Click_Link","Morning",47.4318959616701,"Marketing",0,"male",1.22712642571857,"Yes","No","No"
1000620,100001,"Click_Link","Morning",37.6386036960986,"Finance",0,"female",8.16646687566467,"No","No","No"
1001554,100001,"Open_Attachment","Morning",59.82340862423,"Finance",0,"male",5.34883884111406,"No","No","No"
1000749,100001,"Click_Link","Morning",40.3367556468173,"Marketing",0,"male",0.608572216956201,"Yes","No","No"
1000115,100001,"Data_Entry","Morning",32.8418891170431,"Finance",0,"female",2.62055772339072,"Yes","No","No"
1000478,100001,"Open_Attachment","Morning",47.7316906228611,"Marketing",0,"male",11.2460216302346,"Yes","No","No"
1001049,100001,"Click_Link","Morning",38.2381930184805,"Marketing",0,"female",12.543597805556,"Yes","No","No"
1001575,100001,"Data_Entry","Morning",55.5263518138261,"Operations",0,"female",6.89188183050994,"Yes","No","Yes"
1001451,100001,"Data_Entry","Morning",48.1314168377823,"Operations",0,"female",3.48618451964231,"Yes","Yes",
1000351,100001,"Open_Attachment","Morning",34.2409308692676,"Finance",0,"female",10.9465236459227,"No","No","Yes"
1001363,100001,"Open_Attachment","Morning",23.0485968514716,"Operations",0,"female",3.69366423271091,"Yes","No","Yes"
1001903,100001,"Click_Link","Morning",29.2443531827515,"Marketing",0,"female",1.84074567404988,"Yes","No","No"
1001804,100001,"Click_Link","Morning",39.337440109514,"Operations",0,"male",8.51404184197973,"Yes","Yes",
1000796,100001,"Open_Attachment","Morning",53.4277891854894,"Finance",0,"female",5.74516312359076,"Yes","No","Yes"
1001607,100001,"Click_Link","Morning",50.6297056810404,"Finance",0,"male",3.2971444643781,"Yes","No","No"
