"customer_id","sale","sale_amount","region","age","gender","activity","marketing_exposure","x1","x2","x3","x4","x5","num_accounts","current_customer","income"
100000,"No",0,"35",62,"Male","Med",6,73.6746434658382,8.26306296299949,93.879406996703,10,1,0,"No",78
100001,"Yes",884.47802879639,"13",71,"Female","High",5,49.1959837856317,11.9252008727371,72.862513909123,7,2,2,"No",66
100002,"No",0,"23",53,"Male","High",6,49.8684924475909,10.9323898460533,128.150580293165,12,2,1,"Yes",86
100003,"No",0,"12",60,"Male","Med",7,42.5631536994667,9.72530998415034,126.266391100407,11,1,0,"Yes",70
100004,"Yes",243.937661114048,"44",62,"Male","Med",11,45.0354395456277,9.94117064156508,108.037633508997,9,3,0,"No",59
100007,"Yes",621.95127446052,"42",44,"Female","Low",2,61.6599109254497,9.15242510721192,91.4576095500247,10,1,1,"No",60
100008,"No",0,"44",58,"Male","Low",5,49.7028724102849,9.91876729953559,78.0903105039257,11,4,0,"No",70
100009,"No",0,"7",47,"Female","Low",2,51.2908400948215,10.2127656536877,112.802835320622,12,0,0,"No",53
100011,"No",0,"30",61,"Male","Low",10,66.9044846215199,9.97585553716979,98.4343993889281,11,2,0,"No",79
100013,"Yes",233.967341549121,"34",60,"Male","Low",8,60.5023034409707,9.05457633267758,95.4635640319256,11,0,1,"No",67
100014,"No",0,"27",68,"Female","Med",5,46.0201730633255,11.0813356825637,120.886227322137,8,1,0,"No",74
100015,"No",0,"13",48,"Female","High",3,51.0820888550928,9.14716554306541,72.3826316600361,10,2,0,"No",64
100016,"No",0,"43",58,"Male","Med",3,42.2369150508407,9.0332287828053,101.266679790355,8,1,0,"No",63
100017,"Yes",723.721738343178,"35",53,"Female","Low",3,61.5249011052567,11.7352965350724,99.4727130152253,11,5,0,"No",66
100018,"Yes",100.878853195298,"36",54,"Male","High",5,40.0721614045215,13.1605474773189,91.4322613373485,9,0,0,"No",56
100021,"No",0,"41",48,"Male","Med",6,48.632993231654,10.3087568721338,85.3489803549319,4,1,0,"No",34
100023,"No",0,"22",56,"Male","Low",8,47.6794759396355,8.57957781341345,109.08754208689,11,6,2,"No",69
100024,"No",0,"12",50,"Male","Med",4,35.2098601236739,8.86278277337346,114.584955343489,10,7,1,"No",73
100025,"Yes",510.336383100281,"33",74,"Female","Low",1,48.025158880069,14.4176416578587,151.339201620041,12,1,0,"No",67
100026,"No",0,"48",48,"Female","Med",1,72.4474467028604,8.83775723189576,59.5043622832461,10,1,0,"No",49
100027,"Yes",567.151455434183,"49",80,"Female","Low",3,35.3057465808182,9.20368122454976,163.359721367391,8,3,1,"No",88
100028,"Yes",624.509739911421,"39",66,"Female","High",4,66.1055897558454,10.5762747573842,131.697467058089,12,1,1,"No",57
100029,"Yes",744.164461914342,"24",62,"Female","Med",2,63.8042746746057,11.2474059532465,125.875423284156,9,1,1,"No",76
100032,"Yes",155.587543284562,"36",63,"Male","High",8,49.654679652259,8.32632081981166,115.82663055262,9,1,0,"No",76
100033,"Yes",584.267297795778,"45",52,"Male","Low",5,60.4165864639284,10.0901590983936,150.42021067549,12,2,1,"Yes",60
100034,"No",0,"35",63,"Male","High",4,61.6631207559064,12.1962260119144,106.095477125377,12,1,1,"No",65
100035,"No",0,"23",61,"Female","Med",3,48.0213825491985,9.7126241919683,83.5189322562152,9,0,2,"No",61
100038,"Yes",88.3554331420656,"44",54,"Male","Low",3,39.315757231144,12.0665511919689,78.0598947182471,12,1,0,"Yes",75
100039,"Yes",10.0001581298466,"17",64,"Female","Med",0,35.0641994785896,7.73968353988891,90.6214445284174,9,2,3,"No",83
100040,"No",0,"3",35,"Male","High",10,38.8822962910297,10.2483577723631,92.6490048430617,14,1,0,"Yes",76
100041,"Yes",414.56337561236,"21",82,"Female","High",1,41.7959927468078,14.3170067249302,104.22537010372,12,0,0,"No",70
100042,"Yes",326.702369376335,"19",55,"Male","Low",3,69.9786667313186,9.61584518020348,89.2288487565833,6,3,1,"Yes",66
100043,"Yes",499.067508874331,"4",51,"Male","Med",4,49.9376218780915,7.16353907526319,77.1998896103924,8,1,0,"No",50
100044,"No",0,"22",61,"Female","Med",4,40.3416986930602,14.1343298726522,100.166961304515,16,5,1,"No",67
100046,"No",0,"47",53,"Male","Med",5,49.1347985957189,10.8713365006647,83.2622389719013,10,1,1,"Yes",80
100047,"Yes",382.671346414475,"15",63,"Female","Med",5,47.5261156280988,11.2928285723701,78.6734557087562,14,1,1,"No",59
100050,"No",0,"47",47,"Male","Med",10,57.1049144930939,12.917248358574,94.7197209545143,10,2,1,"Yes",71
100051,"No",0,"28",50,"Male","Low",4,52.6425215809199,9.25916160166542,60.2196959967469,6,1,0,"No",60
100052,"Yes",174.465561612415,"43",62,"Male","Med",2,53.6857419042704,10.0452625768048,71.1184291995365,12,0,0,"No",67
100053,"Yes",271.328001625146,"17",60,"Female","High",5,54.5130761065048,13.2151170728432,128.485506734765,10,1,0,"No",62
100055,"Yes",996.223209859308,"32",67,"Female","High",5,39.7366704026436,12.0213063058297,119.861340908467,6,3,2,"No",64
100056,"Yes",207.305312980197,"40",61,"Male","Low",4,44.2341674809686,6.05857085781117,85.3967640893059,14,1,0,"No",52
100057,"No",0,"40",77,"Male","Low",9,83.2652839066107,12.4691845272461,127.22697234172,15,0,1,"No",52
100058,"No",0,"30",56,"Male","Med",6,70.7064464720386,7.46409715489943,91.4007186447214,8,0,1,"No",64
100059,"No",0,"42",65,"Female","Med",4,55.2084046500784,8.74247115449917,95.6400612373959,9,1,0,"No",67
100060,"Yes",599.477159333568,"13",53,"Male","High",6,35.0082150122171,9.4103316184774,102.219707043224,9,1,0,"Yes",72
100061,"Yes",284.737856847382,"48",68,"Female","Low",3,54.0736284591639,12.7815107779411,127.048511436468,11,2,0,"No",58
100064,"Yes",229.781102664551,"24",44,"Male","Low",8,58.5852903826092,9.29209181456335,115.718603247297,12,2,2,"Yes",64
100066,"No",0,"9",67,"Female","Low",5,64.3292397316858,11.3062756071608,99.7844365801235,8,1,1,"No",55
100067,"Yes",515.751631541972,"23",49,"Male","Low",5,43.8380511959125,13.3132296426114,56.4343938835546,9,2,0,"No",48
100068,"Yes",230.479336814905,"8",63,"Male","Low",7,59.4784601975418,5.76297164856277,76.3556891331736,15,2,0,"No",61
100069,"No",0,"5",58,"Male","Low",6,49.234812941093,11.0668338593995,107.643706050642,8,5,1,"No",40
100071,"Yes",407.355704701165,"23",63,"Male","Med",1,50.1120558003168,13.6323697829626,97.4864140493737,9,2,0,"No",78
