"customer_id","sale","sale_amount","region","age","gender","activity","marketing_exposure","x1","x2","x3","x4","x5","num_accounts","current_customer","income"
108702,"Yes",109.600968180057,"48",77,"Female","Med",0,40.7147139396864,7.92004220046689,123.585209951006,7,3,0,"Yes",72
101121,"No",0,"13",55,"Male","Low",9,45.5498433053069,9.99579965694362,122.80211566205,7,4,0,"No",66
105348,"Yes",1460.12514799769,"17",89,"Female","High",3,65.2949515332668,10.30460583806,126.041874610753,13,7,1,"No",63
107520,"Yes",26.2510393596699,"12",55,"Male","High",8,58.6409682699126,10.5517195790189,48.2193440187397,9,1,1,"Yes",67
108947,"Yes",349.508473672289,"36",48,"Male","High",4,60.0517623790872,12.3989939092323,100.634616974878,9,1,0,"Yes",61
104568,"No",0,"26",67,"Female","High",5,50.4451844608308,9.52067293670263,115.639426729826,17,2,0,"No",76
105300,"Yes",610.810722483881,"37",59,"Male","Med",6,55.9523277297412,9.94122234219895,116.801226672583,9,3,0,"Yes",61
101704,"No",0,"23",48,"Male","Low",8,50.6165505080441,10.5692131734844,116.712871002816,9,1,0,"No",63
104713,"Yes",286.398773566637,"5",54,"Male","Med",7,59.7087614830892,7.83235779676495,96.4477051827096,10,0,0,"Yes",50
106494,"No",0,"32",68,"Female","High",2,44.3147045023106,8.98144587805844,104.435286200725,8,2,0,"No",57
109229,"No",0,"13",77,"Female","Med",4,57.3745444707527,13.9091983088499,107.996793478008,19,3,0,"No",48
108857,"Yes",1037.83887329961,"42",81,"Male","High",9,38.2791425223156,8.74136467794639,112.2912598098,5,1,1,"No",45
108767,"No",0,"8",46,"Male","Low",8,58.7857991075544,11.9130567328616,88.8637314039158,17,2,1,"No",72
108713,"No",0,"28",55,"Male","Med",5,71.2480944748504,12.756332083024,89.1436683146549,7,0,1,"No",63
109730,"No",0,"17",66,"Male","Med",5,68.6820748774377,10.0045537008551,101.640603008081,12,3,1,"Yes",64
103728,"No",0,"8",54,"Male","High",5,45.9646626209002,10.2094726424108,81.2753595201214,13,1,3,"No",86
103216,"No",0,"23",64,"Female","High",0,57.8070833140896,8.07783180705266,108.890121838207,9,1,0,"Yes",54
105132,"Yes",442.016448602745,"19",65,"Female","Low",4,54.9473552494672,6.16737476033475,81.3731373616095,2,2,0,"No",69
109760,"Yes",1079.60289727993,"22",77,"Female","Med",4,53.3260176629767,9.42046401301511,122.561092738927,12,0,1,"No",52
102908,"Yes",477.991846221912,"47",35,"Male","High",4,49.1563676426969,8.95180048263237,97.3760203700329,10,1,0,"No",66
103879,"Yes",458.330252546855,"38",48,"Male","Low",2,43.9866629277658,5.03359109707208,83.5364243527163,7,5,0,"No",64
108190,"No",0,"4",41,"Male","Med",8,52.4613821113214,9.25211312794944,119.813759322397,11,3,0,"No",63
100515,"Yes",139.681436675928,"28",71,"Male","Low",12,28.9608253087594,8.6436540423326,79.3358046365912,10,1,0,"No",59
105736,"No",0,"29",51,"Male","Med",2,72.2750530345668,7.25745747740573,111.6840131608,11,4,1,"No",68
103434,"Yes",169.003804078393,"46",66,"Male","High",8,46.4783645593922,13.4180248334451,157.367618989659,7,1,0,"No",61
104683,"No",0,"42",53,"Male","Med",9,24.532795388787,8.90361909953603,73.2335923537835,7,4,1,"Yes",66
106164,"No",0,"18",67,"Female","Low",4,41.5723201083155,11.2644558028896,100.852659538678,9,2,0,"Yes",73
107045,"Yes",172.895016931921,"1",47,"Male","High",9,32.2587056710512,9.10371767971105,127.233866768129,10,1,0,"No",72
106591,"Yes",566.446560915706,"37",68,"Female","Low",2,50.5817661101147,12.3889696281273,80.5086007422493,13,1,0,"Yes",39
101253,"Yes",472.154120177733,"23",49,"Male","Med",7,70.4506581532299,9.84940432657139,128.787739764079,9,5,2,"No",59
107889,"No",0,"36",80,"Female","Low",5,66.4183140791494,5.32448850548958,80.7720541951909,24,0,0,"Yes",71
105322,"Yes",92.0667544685226,"18",58,"Female","High",2,39.458443704175,9.72401108775123,71.9850885448034,7,1,0,"Yes",63
104062,"Yes",51.706384801765,"33",58,"Male","High",6,42.7112658074473,8.39186950337905,74.3918352271174,10,4,2,"No",62
