 ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
 2,0.000,0.000,0.007,0.003,common.py:314(_get_handle)
 151,0.000,0.000,0.000,0.000,common.py:316(apply_if_callable)
 3,0.000,0.000,0.000,0.000,common.py:393(random_state)
 1,0.000,0.000,0.000,0.000,common.py:397(Visitor)
 260,0.000,0.000,0.001,0.000,common.py:403(is_datetime64_dtype)
 1,0.000,0.000,0.000,0.000,common.py:41(EntitiesForbidden)
 1,0.000,0.000,0.000,0.000,common.py:432(FNMatcher)
 845,0.001,0.000,0.005,0.000,common.py:434(is_datetime64tz_dtype)
 1,0.000,0.000,0.000,0.000,common.py:455(BytesZipFile)
 1,0.000,0.000,0.000,0.000,common.py:47(Checkers)
 209,0.000,0.000,0.001,0.000,common.py:472(is_timedelta64_dtype)
 1,0.000,0.000,0.000,0.000,common.py:477(MMapWrapper)
 1,0.000,0.000,0.000,0.000,common.py:5(<module>)
 316,0.000,0.000,0.002,0.000,common.py:503(is_period_dtype)
 1,0.000,0.000,0.000,0.000,common.py:520(UTF8Recoder)
 320,0.000,0.000,0.003,0.000,common.py:536(is_interval_dtype)
 1,0.000,0.000,0.000,0.000,common.py:544(UnicodeWriter)
 438,0.000,0.000,0.004,0.000,common.py:572(is_categorical_dtype)
 1,0.000,0.000,0.000,0.000,common.py:59(ExternalReferenceForbidden)
 1,0.000,0.000,0.000,0.000,common.py:60(BaseIterator)
 129,0.000,0.000,0.001,0.000,common.py:605(is_string_dtype)
 120,0.000,0.000,0.001,0.000,common.py:634(condition)
 1,0.000,0.000,0.004,0.004,common.py:7(<module>)
 32,0.000,0.000,0.001,0.000,common.py:702(is_datetimelike)
 155,0.000,0.000,0.000,0.000,common.py:746(is_dtype_equal)
 1,0.000,0.000,0.000,0.000,common.py:75(NotSupportedError)
 3,0.000,0.000,0.000,0.000,common.py:76(_is_url)
 159,0.000,0.000,0.001,0.000,common.py:868(is_integer_dtype)
 56,0.000,0.000,0.001,0.000,common.py:923(is_signed_integer_dtype)
 2,0.000,0.000,0.000,0.000,common.py:93(_generate_etree_functions)
 199,0.000,0.000,0.005,0.000,common.py:93(is_bool_indexer)
 15,0.000,0.000,0.000,0.000,common.py:94(_expand_user)
 4,0.000,0.000,0.003,0.001,common.py:97(parse)
 21,0.000,0.000,0.000,0.000,common.py:980(is_unsigned_integer_dtype)
 423,0.002,0.000,0.002,0.000,compat.py:198(inspect_formatargspec)
 90,0.000,0.000,0.000,0.000,compat.py:207(<lambda>)
 120,0.000,0.000,0.000,0.000,compat.py:208(<lambda>)
 100,0.000,0.000,0.000,0.000,compat.py:209(<lambda>)
 1170,0.000,0.000,0.000,0.000,compat.py:227(formatargandannotation)
 5,0.000,0.000,0.000,0.000,compat.py:310(with_metaclass)
 5,0.000,0.000,0.000,0.000,compat.py:319(metaclass)
 10,0.000,0.000,0.001,0.000,compat.py:323(__new__)
 83,0.000,0.000,0.003,0.000,compat.py:70(inspect_getargspec)
 1,0.000,0.000,0.007,0.007,compat.py:8(<module>)
 1,0.000,0.000,0.006,0.006,compatibility.py:8(<module>)
 1,0.000,0.000,0.001,0.001,compdoc.py:11(<module>)
 1,0.000,0.000,0.000,0.000,compdoc.py:29(CompDocError)
 1,0.000,0.000,0.000,0.000,compdoc.py:32(DirNode)
 1,0.000,0.000,0.000,0.000,compdoc.py:74(CompDoc)
 1,0.000,0.000,0.000,0.000,compiler.py:141(<setcomp>)
 1,0.000,0.000,0.004,0.004,compiler.py:24(<module>)
 1,0.000,0.000,0.000,0.000,compiler.py:243(Compiled)
 1,0.000,0.000,0.000,0.000,compiler.py:2677(StrSQLCompiler)
 1,0.000,0.000,0.000,0.000,compiler.py:2725(DDLCompiler)
 1,0.000,0.000,0.000,0.000,compiler.py:3166(GenericTypeCompiler)
 1,0.000,0.000,0.000,0.000,compiler.py:3320(StrSQLTypeCompiler)
 1,0.000,0.000,0.000,0.000,compiler.py:3331(IdentifierPreparer)
 1,0.000,0.000,0.000,0.000,compiler.py:382(TypeCompiler)
 1,0.000,0.000,0.000,0.000,compiler.py:394(_CompileLabel)
 1,0.000,0.000,0.000,0.000,compiler.py:418(SQLCompiler)
 1,0.000,0.000,0.000,0.000,concat.py:102(JoinUnit)
 18,0.000,0.000,0.000,0.000,concat.py:104(__init__)
 8,0.000,0.000,0.000,0.000,concat.py:117(needs_filling)
 8,0.000,0.000,0.000,0.000,concat.py:126(dtype)
 8,0.000,0.000,0.001,0.000,concat.py:137(is_na)
 8,0.000,0.000,0.010,0.001,concat.py:165(get_reindexed_values)
 4,0.000,0.000,0.000,0.000,concat.py:20(get_dtype_kinds)
 8,0.000,0.000,0.000,0.000,concat.py:22(get_mgr_concatenation_plan)
 8,0.000,0.000,0.011,0.001,concat.py:228(concatenate_join_units)
 1,0.000,0.000,0.000,0.000,concat.py:232(_Concatenator)
 3,0.000,0.000,0.003,0.001,concat.py:237(__init__)
 8,0.000,0.000,0.010,0.001,concat.py:238(<listcomp>)
 3,0.000,0.000,0.003,0.001,concat.py:24(concat)
 8,0.000,0.000,0.001,0.000,concat.py:259(get_empty_dtype_and_na)
 3,0.000,0.000,0.000,0.000,concat.py:3(<module>)
 3,0.000,0.000,0.000,0.000,concat.py:309(<listcomp>)
 8,0.000,0.000,0.001,0.000,concat.py:365(is_uniform_join_units)
 16,0.000,0.000,0.000,0.000,concat.py:374(<genexpr>)
 16,0.000,0.000,0.001,0.000,concat.py:377(<genexpr>)
 16,0.000,0.000,0.000,0.000,concat.py:379(<genexpr>)
 3,0.000,0.000,0.001,0.000,concat.py:383(get_result)
 8,0.000,0.000,0.000,0.000,concat.py:386(is_uniform_reindex)
 16,0.000,0.000,0.000,0.000,concat.py:389(<genexpr>)
 22,0.000,0.000,0.000,0.000,concat.py:423(combine_concat_plans)
 3,0.000,0.000,0.000,0.000,concat.py:434(_get_result_dim)
 3,0.000,0.000,0.002,0.001,concat.py:440(_get_new_axes)
 3,0.000,0.000,0.000,0.000,concat.py:464(_get_comb_axis)
 3,0.000,0.000,0.002,0.001,concat.py:475(_get_concat_axis)
 4,0.000,0.000,0.002,0.001,concat.py:486(_concat_index_asobject)
 4,0.000,0.000,0.000,0.000,concat.py:496(<listcomp>)
 4,0.000,0.000,0.000,0.000,concat.py:503(<listcomp>)
 3,0.000,0.000,0.000,0.000,concat.py:507(<listcomp>)
 3,0.000,0.000,0.000,0.000,concat.py:523(_maybe_check_integrity)
 3,0.000,0.000,0.002,0.001,concat.py:531(_concat_indexes)
 3,0.000,0.000,0.000,0.000,concat.py:84(_get_frame_result_type)
 6,0.000,0.000,0.000,0.000,concat.py:92(<genexpr>)
 6,0.000,0.000,0.000,0.000,concat.py:93(<genexpr>)
 6,0.000,0.000,0.000,0.000,concat.py:97(<genexpr>)
 1,0.000,0.000,0.000,0.000,config.py:175(DictWrapper)
 1,0.000,0.000,0.000,0.000,config.py:178(__init__)
 1,0.000,0.000,0.000,0.000,config.py:220(CallableDynamicDoc)
 4,0.000,0.000,0.000,0.000,config.py:222(__init__)
 494,0.000,0.000,0.004,0.000,config.py:226(__call__)
 1,0.000,0.000,0.000,0.000,config.py:377(option_context)
 48,0.000,0.000,0.001,0.000,config.py:410(register_option)
 2,0.000,0.000,0.000,0.000,config.py:477(deprecate_option)
 1,0.000,0.000,0.003,0.003,config.py:49(<module>)
 494,0.000,0.000,0.000,0.000,config.py:528(_select_options)
 494,0.002,0.000,0.002,0.000,config.py:546(_get_root)
 988,0.000,0.000,0.000,0.000,config.py:561(_get_deprecated_option)
 494,0.000,0.000,0.000,0.000,config.py:589(_translate_key)
 494,0.000,0.000,0.000,0.000,config.py:602(_warn_if_deprecated)
 1,0.000,0.000,0.000,0.000,config.py:69(OptionError)
 24,0.000,0.000,0.000,0.000,config.py:691(config_prefix)
 36,0.000,0.000,0.000,0.000,config.py:721(wrap)
 48,0.000,0.000,0.001,0.000,config.py:722(inner)
 5,0.000,0.000,0.000,0.000,config.py:743(is_type_factory)
 24,0.000,0.000,0.000,0.000,config.py:757(inner)
 5,0.000,0.000,0.002,0.000,config.py:765(is_instance_factory)
 494,0.001,0.000,0.002,0.000,config.py:78(_get_single_key)
 7,0.000,0.000,0.000,0.000,config.py:785(inner)
 7,0.000,0.000,0.000,0.000,config.py:793(is_one_of_factory)
 7,0.000,0.000,0.000,0.000,config.py:795(<listcomp>)
 7,0.000,0.000,0.000,0.000,config.py:796(<listcomp>)
 7,0.000,0.000,0.000,0.000,config.py:798(inner)
 494,0.000,0.000,0.004,0.000,config.py:96(_get_option)
 1,0.000,0.000,0.005,0.005,config_init.py:11(<module>)
 1,0.000,0.000,0.000,0.000,configparser.py:1184(ConfigParser)
 1,0.000,0.000,0.000,0.000,configparser.py:1203(SafeConfigParser)
 1,0.000,0.000,0.000,0.000,configparser.py:1216(SectionProxy)
 1,0.000,0.000,0.000,0.000,configparser.py:1286(ConverterMapping)
 1,0.000,0.000,0.003,0.003,configparser.py:139(<module>)
 1,0.000,0.000,0.000,0.000,configparser.py:167(Error)
 1,0.000,0.000,0.000,0.000,configparser.py:180(NoSectionError)
 1,0.000,0.000,0.000,0.000,configparser.py:189(DuplicateSectionError)
 1,0.000,0.000,0.000,0.000,configparser.py:215(DuplicateOptionError)
 1,0.000,0.000,0.000,0.000,configparser.py:242(NoOptionError)
 1,0.000,0.000,0.000,0.000,configparser.py:253(InterpolationError)
 1,0.000,0.000,0.000,0.000,configparser.py:263(InterpolationMissingOptionError)
 1,0.000,0.000,0.000,0.000,configparser.py:275(InterpolationSyntaxError)
 1,0.000,0.000,0.000,0.000,configparser.py:283(InterpolationDepthError)
 1,0.000,0.000,0.000,0.000,configparser.py:296(ParsingError)
 1,0.000,0.000,0.000,0.000,configparser.py:339(MissingSectionHeaderError)
 1,0.000,0.000,0.000,0.000,configparser.py:359(Interpolation)
 1,0.000,0.000,0.000,0.000,configparser.py:375(BasicInterpolation)
 1,0.000,0.000,0.000,0.000,configparser.py:447(ExtendedInterpolation)
 1,0.000,0.000,0.000,0.000,configparser.py:521(LegacyInterpolation)
 1,0.000,0.000,0.002,0.002,configparser.py:559(RawConfigParser)
 1,0.000,0.000,0.000,0.000,console.py:15(detect_console_encoding)
 1,0.000,0.000,0.000,0.000,console.py:3(<module>)
 3,0.000,0.000,0.000,0.000,console.py:47(get_console_size)
 3,0.000,0.000,0.000,0.000,console.py:90(in_interactive_session)
 3,0.000,0.000,0.000,0.000,console.py:97(check_main)
 1,0.000,0.000,0.007,0.007,construction.py:170(init_dict)
 3,0.000,0.000,0.017,0.006,construction.py:254(_homogenize)
 2,0.000,0.000,0.000,0.000,construction.py:284(extract_index)
 2,0.000,0.000,0.041,0.020,construction.py:382(to_arrays)
 1,0.000,0.000,0.000,0.000,construction.py:4(<module>)
 2,0.000,0.000,0.041,0.020,construction.py:429(_list_to_arrays)
 3,0.000,0.000,0.026,0.009,construction.py:43(arrays_to_mgr)
 2,0.000,0.000,0.034,0.017,construction.py:484(_convert_object_array)
 17,0.000,0.000,0.034,0.002,construction.py:495(convert)
 2,0.000,0.000,0.034,0.017,construction.py:501(<listcomp>)
 115,0.001,0.000,0.024,0.000,construction.py:537(sanitize_array)
 73,0.000,0.000,0.004,0.000,construction.py:684(_try_cast)
 1,0.000,0.000,0.000,0.000,contenttypes.py:120(_add_shared_strings)
 1,0.000,0.000,0.000,0.000,contenttypes.py:130(_add_image_types)
 1,0.000,0.000,0.000,0.000,contenttypes.py:169(_write_defaults)
 1,0.000,0.000,0.000,0.000,contenttypes.py:177(_write_overrides)
 1,0.000,0.000,0.000,0.000,contenttypes.py:184(_write_types)
 1,0.000,0.000,0.000,0.000,contenttypes.py:29(ContentTypes)
 1,0.000,0.000,0.000,0.000,contenttypes.py:42(__init__)
 1,0.000,0.000,0.000,0.000,contenttypes.py:60(_assemble_xml_file)
 2,0.000,0.000,0.000,0.000,contenttypes.py:79(_add_override)
 1,0.000,0.000,0.000,0.000,contenttypes.py:8(<module>)
 1,0.000,0.000,0.000,0.000,contenttypes.py:83(_add_worksheet_name)
 34,0.000,0.000,0.000,0.000,contextlib.py:129(contextmanager)
 13,0.000,0.000,0.000,0.000,contextlib.py:157(helper)
 13,0.000,0.000,0.000,0.000,contextlib.py:59(__init__)
 13,0.000,0.000,0.000,0.000,contextlib.py:79(__enter__)
 13,0.000,0.000,0.000,0.000,contextlib.py:85(__exit__)
 23/2,0.000,0.000,0.000,0.000,copy.py:132(deepcopy)
 14,0.000,0.000,0.000,0.000,copy.py:190(_deepcopy_atomic)
 9/2,0.000,0.000,0.000,0.000,copy.py:210(_deepcopy_list)
 9,0.000,0.000,0.000,0.000,copy.py:252(_keep_alive)
 429,0.000,0.000,0.001,0.000,copy.py:268(_reconstruct)
 431,0.001,0.000,0.003,0.000,copy.py:66(copy)
 1,0.000,0.000,0.000,0.000,copyreg.py:12(pickle)
 1,0.000,0.000,0.000,0.000,copyreg.py:22(constructor)
 429,0.000,0.000,0.000,0.000,copyreg.py:87(__newobj__)
 14,0.000,0.000,0.000,0.000,copyreg.py:96(_slotnames)
 1,0.000,0.000,0.000,0.000,core.py:104(_write_dc_creator)
 1,0.000,0.000,0.000,0.000,core.py:110(_write_cp_last_modified_by)
 1,0.000,0.000,0.000,0.000,core.py:1124(_DomainedBinaryOperation)
 6,0.000,0.000,0.000,0.000,core.py:1145(__init__)
 1,0.000,0.000,0.000,0.000,core.py:116(_write_dcterms_created)
 4,0.000,0.000,0.000,0.000,core.py:126(doc_note)
 1,0.000,0.000,0.000,0.000,core.py:128(_write_dcterms_modified)
 1,0.000,0.000,0.000,0.000,core.py:1283(_replace_dtype_fields_recursive)
 1,0.000,0.000,0.000,0.000,core.py:1315(_replace_dtype_fields)
 1,0.000,0.000,0.000,0.000,core.py:1329(make_mask_descr)
 3,0.000,0.000,0.000,0.000,core.py:1362(getmask)
 1,0.000,0.000,0.000,0.000,core.py:140(_write_dc_title)
 1,0.000,0.000,0.000,0.000,core.py:149(_write_dc_subject)
 44,0.000,0.000,0.000,0.000,core.py:149(get_object_signature)
 1,0.000,0.000,0.000,0.000,core.py:15(Core)
 1,0.000,0.000,0.000,0.000,core.py:158(_write_cp_keywords)
 1,0.000,0.000,0.000,0.000,core.py:166(MAError)
 1,0.000,0.000,0.000,0.000,core.py:167(_write_dc_description)
 1,0.000,0.000,0.000,0.000,core.py:174(MaskError)
 1,0.000,0.000,0.000,0.000,core.py:176(_write_cp_category)
 1,0.000,0.000,0.000,0.000,core.py:185(_write_cp_content_status)
 1,0.000,0.000,0.000,0.000,core.py:206(<listcomp>)
 1,0.000,0.000,0.000,0.000,core.py:208(<listcomp>)
 1,0.000,0.000,0.002,0.002,core.py:21(<module>)
 1,0.000,0.000,0.000,0.000,core.py:2378(_MaskedPrintOption)
 1,0.000,0.000,0.000,0.000,core.py:2384(__init__)
 8,0.000,0.000,0.000,0.000,core.py:2551(_arraymethod)
 1,0.000,0.000,0.000,0.000,core.py:2596(MaskedIterator)
 1,0.000,0.000,0.000,0.000,core.py:2710(MaskedArray)
 1,0.000,0.000,0.000,0.000,core.py:2775(__new__)
 1,0.000,0.000,0.000,0.000,core.py:28(__init__)
 2,0.000,0.000,0.000,0.000,core.py:2905(_update_from)
 2,0.000,0.000,0.000,0.000,core.py:2931(__array_finalize__)
 1,0.000,0.000,0.000,0.000,core.py:3080(view)
 4,0.000,0.000,0.000,0.000,core.py:3350(dtype)
 2,0.000,0.000,0.000,0.000,core.py:3366(shape)
 1,0.000,0.000,0.000,0.000,core.py:44(_assemble_xml_file)
 1,0.000,0.000,0.000,0.000,core.py:6060(mvoid)
 1,0.000,0.000,0.000,0.000,core.py:6256(MaskedConstant)
 4,0.000,0.000,0.000,0.000,core.py:6260(__has_singleton)
 1,0.000,0.000,0.000,0.000,core.py:6266(__new__)
 1,0.000,0.000,0.000,0.000,core.py:6284(__array_finalize__)
 2,0.000,0.000,0.000,0.000,core.py:6348(__setattr__)
 1,0.000,0.000,0.000,0.000,core.py:6440(_extrema_operation)
 2,0.000,0.000,0.000,0.000,core.py:6449(__init__)
 1,0.000,0.000,0.000,0.000,core.py:6557(_frommethod)
 26,0.000,0.000,0.000,0.000,core.py:6568(__init__)
 26,0.000,0.000,0.000,0.000,core.py:6573(getdoc)
 1,0.000,0.000,0.000,0.000,core.py:67(_set_properties)
 2,0.000,0.000,0.000,0.000,core.py:71(_datetime_to_iso8601_date)
 1,0.000,0.000,0.000,0.000,core.py:796(_DomainCheckInterval)
 1,0.000,0.000,0.000,0.000,core.py:8048(_convert2ma)
 3,0.000,0.000,0.000,0.000,core.py:805(__init__)
 8,0.000,0.000,0.000,0.000,core.py:8061(__init__)
 8,0.000,0.000,0.000,0.000,core.py:8066(getdoc)
 1,0.000,0.000,0.000,0.000,core.py:821(_DomainTan)
 1,0.000,0.000,0.000,0.000,core.py:829(__init__)
 1,0.000,0.000,0.000,0.000,core.py:839(_DomainSafeDivide)
 1,0.000,0.000,0.000,0.000,core.py:84(_write_cp_core_properties)
 6,0.000,0.000,0.000,0.000,core.py:845(__init__)
 1,0.000,0.000,0.000,0.000,core.py:860(_DomainGreater)
 3,0.000,0.000,0.000,0.000,core.py:866(__init__)
 1,0.000,0.000,0.000,0.000,core.py:876(_DomainGreaterEqual)
 2,0.000,0.000,0.000,0.000,core.py:882(__init__)
 1,0.000,0.000,0.000,0.000,core.py:892(_MaskedUFunc)
 53,0.000,0.000,0.000,0.000,core.py:893(__init__)
 1,0.000,0.000,0.000,0.000,core.py:9(<module>)
 1,0.000,0.000,0.000,0.000,core.py:902(_MaskedUnaryOperation)
 27,0.000,0.000,0.000,0.000,core.py:920(__init__)
 1,0.000,0.000,0.000,0.000,core.py:95(MaskedArrayFutureWarning)
 1,0.000,0.000,0.000,0.000,core.py:976(_MaskedBinaryOperation)
 18,0.000,0.000,0.000,0.000,core.py:996(__init__)
 16,0.000,0.000,0.000,0.000,cp437.py:14(decode)
 1,0.000,0.000,0.000,0.000,cp437.py:17(IncrementalEncoder)
 1,0.000,0.000,0.000,0.000,cp437.py:21(IncrementalDecoder)
 1,0.000,0.000,0.000,0.000,cp437.py:25(StreamWriter)
 1,0.000,0.000,0.000,0.000,cp437.py:28(StreamReader)
 1,0.000,0.000,0.000,0.000,cp437.py:3(<module>)
 1,0.000,0.000,0.000,0.000,cp437.py:33(getregentry)
 1,0.000,0.000,0.000,0.000,cp437.py:9(Codec)
 1,0.000,0.000,0.000,0.000,crud.py:11(<module>)
 1,0.000,0.000,0.000,0.000,crud.py:469(_multiparam_column)
 1,0.000,0.000,0.000,0.000,css.py:13(CSSResolver)
 1,0.000,0.000,0.000,0.000,css.py:2(<module>)
 5,0.000,0.000,0.000,0.000,css.py:214(_side_expander)
 1,0.000,0.000,0.000,0.000,css.py:8(CSSWarning)
 1,0.000,0.000,0.000,0.000,csv.py:131(DictWriter)
 1,0.000,0.000,0.000,0.000,csv.py:166(Sniffer)
 1,0.000,0.000,0.000,0.000,csv.py:24(Dialect)
 1,0.000,0.000,0.001,0.001,csv.py:4(<module>)
 1,0.000,0.000,0.000,0.000,csv.py:55(excel)
 1,0.000,0.000,0.000,0.000,csv.py:65(excel_tab)
 1,0.000,0.000,0.000,0.000,csv.py:70(unix_dialect)
 1,0.000,0.000,0.000,0.000,csv.py:81(DictReader)
 4,0.000,0.000,0.000,0.000,csvs.py:112(<genexpr>)
 1,0.000,0.000,0.321,0.321,csvs.py:130(save)
 1,0.000,0.000,0.000,0.000,csvs.py:191(_save_header)
 1,0.000,0.000,0.313,0.313,csvs.py:272(_save)
 1,0.000,0.000,0.000,0.000,csvs.py:28(CSVFormatter)
 5,0.001,0.000,0.313,0.063,csvs.py:290(_save_chunk)
 1,0.000,0.000,0.006,0.006,csvs.py:30(__init__)
 1,0.000,0.000,0.000,0.000,csvs.py:4(<module>)
 1,0.000,0.000,0.000,0.000,ctypeslib.py:177(_ndptr)
 1,0.000,0.000,0.000,0.000,ctypeslib.py:323(_get_typecodes)
 1,0.000,0.000,0.000,0.000,ctypeslib.py:332(<dictcomp>)
 1,0.000,0.000,0.000,0.000,ctypeslib.py:51(<module>)
 1,0.000,0.000,0.000,0.000,custom.py:12(Custom)
 1,0.000,0.000,0.000,0.000,custom.py:25(__init__)
 1,0.000,0.000,0.000,0.000,custom.py:9(<module>)
 1,0.000,0.000,0.000,0.000,cycler.py:112(__init__)
 15,0.000,0.000,0.000,0.000,cycler.py:138(keys)
 3,0.000,0.000,0.000,0.000,cycler.py:145(change_key)
 1,0.000,0.000,0.000,0.000,cycler.py:191(_from_iter)
 11,0.000,0.000,0.000,0.000,cycler.py:212(<genexpr>)
 3,0.000,0.000,0.000,0.000,cycler.py:225(__iter__)
 33,0.000,0.000,0.000,0.000,cycler.py:227(<genexpr>)
 3,0.000,0.000,0.000,0.000,cycler.py:349(by_key)
 6,0.000,0.000,0.000,0.000,cycler.py:371(<genexpr>)
 1,0.000,0.000,0.000,0.000,cycler.py:41(<module>)
 1,0.000,0.000,0.000,0.000,cycler.py:468(cycler)
 1,0.000,0.000,0.000,0.000,cycler.py:529(_cycler)
 1,0.000,0.000,0.000,0.000,cycler.py:55(_process_keys)
 1,0.000,0.000,0.000,0.000,cycler.py:77(Cycler)
 1,0.000,0.000,0.000,0.000,date_converters.py:1(<module>)
 1,0.000,0.000,0.000,0.000,dates.py:1030(RRuleLocator)
 1,0.000,0.000,0.000,0.000,dates.py:1135(AutoDateLocator)
 1,0.000,0.000,0.011,0.011,dates.py:135(<module>)
 1,0.000,0.000,0.000,0.000,dates.py:1369(YearLocator)
 1,0.000,0.000,0.000,0.000,dates.py:1451(MonthLocator)
 1,0.000,0.000,0.000,0.000,dates.py:1476(WeekdayLocator)
 1,0.000,0.000,0.000,0.000,dates.py:1504(DayLocator)
 1,0.000,0.000,0.000,0.000,dates.py:1531(HourLocator)
 1,0.000,0.000,0.000,0.000,dates.py:1551(MinuteLocator)
 1,0.000,0.000,0.000,0.000,dates.py:1571(SecondLocator)
 1,0.000,0.000,0.000,0.000,dates.py:1591(MicrosecondLocator)
 1,0.000,0.000,0.000,0.000,dates.py:1783(DateConverter)
 1,0.000,0.000,0.000,0.000,dates.py:321(strpdate2num)
 1,0.000,0.000,0.000,0.000,dates.py:337(bytespdate2num)
 1,0.000,0.000,0.000,0.000,dates.py:580(DateFormatter)
 1,0.000,0.000,0.000,0.000,dates.py:722(IndexDateFormatter)
 1,0.000,0.000,0.000,0.000,dates.py:746(AutoDateFormatter)
 1,0.000,0.000,0.000,0.000,dates.py:845(rrulewrapper)
 1,0.000,0.000,0.000,0.000,dates.py:950(DateLocator)
 1,0.000,0.000,0.000,0.000,datetime.py:1024(time)
 2,0.000,0.000,0.000,0.000,datetime.py:1049(__new__)
 1,0.000,0.000,0.000,0.000,datetime.py:1361(datetime)
 3,0.000,0.000,0.000,0.000,datetime.py:1369(__new__)
 1,0.000,0.000,0.000,0.000,datetime.py:1961(timezone)
 3,0.000,0.000,0.000,0.000,datetime.py:1984(_create)
 35,0.000,0.000,0.000,0.000,datetime.py:262(_check_int_field)
 5,0.000,0.000,0.000,0.000,datetime.py:279(_check_date_fields)
 5,0.000,0.000,0.000,0.000,datetime.py:292(_check_time_fields)
 5,0.000,0.000,0.000,0.000,datetime.py:309(_check_tzinfo_arg)
 1,0.000,0.000,0.000,0.000,datetime.py:337(timedelta)
 9,0.000,0.000,0.000,0.000,datetime.py:356(__new__)
 3,0.000,0.000,0.000,0.000,datetime.py:41(_days_before_year)
 5,0.000,0.000,0.000,0.000,datetime.py:46(_days_in_month)
 1,0.000,0.000,0.002,0.002,datetime.py:5(<module>)
 1,0.000,0.000,0.000,0.000,datetime.py:531(__neg__)
 1,0.000,0.000,0.000,0.000,datetime.py:659(date)
 2,0.000,0.000,0.000,0.000,datetime.py:689(__new__)
 1,0.000,0.000,0.000,0.000,datetime.py:954(tzinfo)
 18,0.000,0.000,0.000,0.000,datetimelike.py:106(_create_comparison_method)
 1,0.000,0.000,0.000,0.000,datetimelike.py:133(DatelikeOps)
 4,0.000,0.000,0.000,0.000,datetimelike.py:137(asi8)
 4,0.000,0.000,0.000,0.000,datetimelike.py:1502(validate_inferred_freq)
 4,0.000,0.000,0.000,0.000,datetimelike.py:1537(maybe_infer_freq)
 8,0.000,0.000,0.000,0.000,datetimelike.py:171(_join_i8_wrapper)
 1,0.000,0.000,0.000,0.000,datetimelike.py:179(TimelikeOps)
 1,0.000,0.000,0.001,0.001,datetimelike.py:2(<module>)
 1,0.000,0.000,0.000,0.000,datetimelike.py:321(DatetimeLikeArrayMixin)
 5,0.000,0.000,0.000,0.000,datetimelike.py:34(ea_passthrough)
 4,0.000,0.000,0.000,0.000,datetimelike.py:351(asi8)
 2,0.000,0.000,0.000,0.000,datetimelike.py:399(shape)
 1,0.000,0.000,0.002,0.002,datetimelike.py:4(<module>)
 2,0.000,0.000,0.000,0.000,datetimelike.py:409(__len__)
 1,0.000,0.000,0.000,0.000,datetimelike.py:42(AttributesMixin)
 3,0.000,0.000,0.000,0.000,datetimelike.py:480(_add_datetimelike_methods)
 1,0.000,0.000,0.001,0.001,datetimelike.py:55(DatetimeIndexOpsMixin)
 1,0.000,0.000,0.000,0.000,datetimelike.py:682(DatetimelikeDelegateMixin)
 4,0.000,0.000,0.000,0.000,datetimelike.py:76(freq)
 16,0.000,0.000,0.000,0.000,datetimelike.py:811(freq)
 1,0.000,0.000,0.000,0.000,datetimes.py:1(<module>)
 6,0.000,0.000,0.000,0.000,datetimes.py:126(_dt_array_cmp)
 4,0.000,0.000,0.000,0.000,datetimes.py:1681(sequence_to_dt64ns)
 4,0.000,0.000,0.000,0.000,datetimes.py:1892(maybe_convert_dtype)
 8,0.000,0.000,0.000,0.000,datetimes.py:1979(_validate_dt64_dtype)
 2,0.000,0.000,0.007,0.004,datetimes.py:2(<module>)
 8,0.000,0.000,0.000,0.000,datetimes.py:2020(validate_tz_from_dtype)
 1,0.000,0.000,0.000,0.000,datetimes.py:213(DatetimeArray)
 4,0.000,0.000,0.000,0.000,datetimes.py:231(_join_i8_wrapper)
 4,0.000,0.000,0.001,0.000,datetimes.py:265(__new__)
 4,0.000,0.000,0.000,0.000,datetimes.py:280(__init__)
 4,0.000,0.000,0.000,0.000,datetimes.py:309(_simple_new)
 8,0.000,0.000,0.000,0.000,datetimes.py:353(_simple_new)
 2,0.000,0.000,0.000,0.000,datetimes.py:360(dtype)
 2,0.000,0.000,0.000,0.000,datetimes.py:364(tz)
 4,0.000,0.000,0.000,0.000,datetimes.py:365(_from_sequence)
 48,0.000,0.000,0.000,0.000,datetimes.py:515(dtype)
 14,0.000,0.000,0.000,0.000,datetimes.py:538(tz)
 8,0.000,0.000,0.000,0.000,datetimes.py:54(tz_to_dtype)
 1,0.000,0.000,0.000,0.000,datetimes.py:59(DatetimeDelegateMixin)
 21,0.000,0.000,0.000,0.000,datetimes.py:88(_field_accessor)
 1,0.000,0.000,0.000,0.000,datetimes.py:94(DatetimeIndex)
 1,0.000,0.000,0.004,0.004,dbapi2.py:23(<module>)
 1,0.000,0.000,0.000,0.000,dbapi2.py:50(<listcomp>)
 1,0.000,0.000,0.000,0.000,dbapi2.py:51(<listcomp>)
 1,0.000,0.000,0.000,0.000,dbapi2.py:56(register_adapters_and_converters)
 1,0.000,0.000,0.005,0.005,ddl.py:11(<module>)
 1,0.000,0.000,0.000,0.000,ddl.py:24(_DDLCompiles)
 1,0.000,0.000,0.000,0.000,ddl.py:283(DDL)
 1,0.000,0.000,0.001,0.001,ddl.py:32(DDLElement)
 1,0.000,0.000,0.000,0.000,ddl.py:421(_CreateDropBase)
 1,0.000,0.000,0.000,0.000,ddl.py:448(CreateSchema)
 1,0.000,0.000,0.000,0.000,ddl.py:464(DropSchema)
